MUNICIPIO,cambio_horario
Abasolo,0
Acuña,1
Allende,1
Arteaga,0
Candela,0
Castaños,0
Cuatro Ciénegas,0
Escobedo,0
Francisco I. Madero,0
Frontera,0
General Cepeda,0
Guerrero,1
Hidalgo,1
Jiménez,1
Juárez,0
Lamadrid,0
Matamoros,0
Monclova,0
Morelos,1
Múzquiz,0
Nadadores,0
Nava,1
Ocampo,0
Parras,0
Piedras Negras,1
Progreso,0
Ramos Arizpe,0
Sabinas,0
Sacramento,0
Saltillo,0
San Buenaventura,0
San Juan de Sabinas,0
San Pedro,0
Sierra Mojada,0
Torreón,0
Viesca,0
Villa Unión,1
Zaragoza,1